facility,room,row,rack_id,rack_unit,unit_height,equipment_type,hostname,asset_tag,serial_number,manufacturer,model,cpu_sockets,ram_gb,power_draw_watts,power_circuit,pdu_port,network_port_primary,network_port_secondary,vlan_primary,ip_address_mgmt,ip_address_production,install_date,warranty_expiry,operational_status,thermal_zone,weight_lbs,cable_path,business_unit,application_mapped,notes
Facility A,Data Hall 3,Row F,NWK-R16,9U,2U,Server,SVR-NWK-061,AST-1061,SN-DC-2024-0061,HPE,ProLiant DL360 Gen10 Plus,2,768,376,Ckt-A-8,PDU-A-16,Eth-29/3,Eth-18/1,VLAN-122,10.100.0.32,10.10.0.32,2023-02-10,2029-08-02,Active,Hot Aisle 1,58,Under-floor Path 1,Core Banking,App-83,
Facility A,Data Hall 1,Row F,NWK-R11,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R11-TEMP,SENS-54540,SN-SENS-988704,Vertiv,Geist Temperature Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.9.63,,2022-04-01,2027-05-04,Active,Hot Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-11-26
Facility A,Data Hall 2,Row G,NWK-R11,N/A (Virtual),0U,Virtual Machine,VM-PRD-139,VM-54092,N/A,VMware,vSphere 7.0,0,8,0,N/A,N/A,vmnic0,vmnic7,VLAN-120,,10.10.2.53,2022-08-07,N/A,Active,Cold Aisle 1,0,N/A,Core Banking,Prod_App_139,Guest OS: RHEL 9; vCPUs: 2; Host: SVR-NWK-062
Facility A,Data Hall 1,Row B,NWK-R60,42U,0U,PDU,PDU-NWK-R60-B,PDU-71733,SN-PDU-713513,Raritan,Raritan PX3-5902V,0,0,30,Ckt-B-1,N/A,Mgmt-4,,VLAN-200,10.100.3.56,,2023-08-06,2029-06-05,Active,Cold Aisle 2,8,Under-floor Path 1,Facilities,Power Distribution,Rated capacity: 8.6 kW
Facility A,Data Hall 1,Row D,NWK-R63,28U,4U,Server,SVR-NWK-030,AST-1030,SN-DC-2020-0030,Dell,PowerEdge R740xd,1,384,412,Ckt-B-8,PDU-B-01,Eth-6/3,Eth-15/4,VLAN-144,10.100.0.18,10.10.0.18,2020-05-22,2028-08-18,Active,Cold Aisle 3,57,Under-floor Path 2,IT Operations,App-46,
Facility A,Data Hall 3,Row H,NWK-R34,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R34-TEMP,SENS-72818,SN-SENS-949049,Vertiv,Geist Temperature Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.2.116,,2024-04-03,2026-12-24,Active,Hot Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-06-10
Facility A,Data Hall 1,Row E,NWK-R65,40U,1U,Patch Panel,PP-NWK-R65-Top,PP-16310,SN-PP-504684,Panduit,48-Port Cat6A Angled,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2022-03-14,N/A,Active,Cold Aisle 2,6,Under-floor Path 1,Facilities,Cabling Infrastructure,35 ports in use of 48 total
Facility A,Data Hall 3,Row A,NWK-R04,1U,4U,Storage Array,SAN-24,STG-42943,SN-STG-312952,NetApp,NetApp FAS8300,2,512,1707,Ckt-A-6,PDU-A-24,FC-4,FC-5,VLAN-300,10.30.0.115,10.30.1.46,2019-03-06,2028-09-04,Active,Cold Aisle 2,85,Under-floor Path 2,IT Operations,Storage Infrastructure,
Facility A,Data Hall 2,Row C,NWK-R65,N/A (Virtual),0U,Virtual Machine,VM-PRD-079,VM-66333,N/A,VMware,vSphere 7.0,0,16,0,N/A,N/A,vmnic2,vmnic0,VLAN-119,,10.10.2.23,2023-01-12,N/A,Active,Hot Aisle 2,0,N/A,Core Banking,Prod_App_79,Guest OS: Windows Server 2022; vCPUs: 2; Host: SVR-NWK-066
Facility A,Data Hall 3,Row E,NWK-R14,42U,0U,PDU,PDU-NWK-R14-B,PDU-21050,SN-PDU-786641,APC,APC AP8681,0,0,27,Ckt-B-5,N/A,Mgmt-2,,VLAN-200,10.100.4.189,,2021-08-21,2027-03-17,Active,Hot Aisle 2,5,Overhead Tray A,Facilities,Power Distribution,Rated capacity: 8.6 kW
Facility A,Data Hall 1,Row H,NWK-R22,30U,1U,Cable Management,CM-NWK-R22-30,CM-23621,N/A,CPI,Horizontal Cable Manager 2U,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2020-09-27,N/A,Active,Cold Aisle 2,2,N/A,Facilities,Cable Management,
Facility A,Data Hall 1,Row H,NWK-R18,42U,0U,PDU,PDU-NWK-R18-B,PDU-71974,SN-PDU-508024,APC,APC AP8681,0,0,24,Ckt-B-6,N/A,Mgmt-2,,VLAN-200,10.100.1.191,,2023-09-04,2028-08-21,Active,Cold Aisle 1,8,Under-floor Path 1,Facilities,Power Distribution,Rated capacity: 5.7 kW
Facility A,Data Hall 1,Row B,NWK-R60,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R60-TEMP,SENS-59089,SN-SENS-622952,Vertiv,Geist Temperature Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.5.52,,2022-07-07,2026-04-24,Needs Calibration,Cold Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-03-09
Facility A,Data Hall 1,Row F,NWK-R56,41U,0U,PDU,PDU-NWK-R56-A,PDU-63150,SN-PDU-223928,Raritan,Raritan PX3-5902V,0,0,21,Ckt-A-8,N/A,Mgmt-2,,VLAN-200,10.100.10.60,,2019-01-24,2027-08-21,Active,Hot Aisle 1,12,Side Cable Mgmt,Facilities,Power Distribution,Rated capacity: 5.7 kW
Facility A,Data Hall 1,Row H,NWK-R22,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R22-AIRF,SENS-77873,SN-SENS-912149,Vertiv,Geist Airflow Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.10.124,,2021-05-22,2026-03-14,Active,Hot Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-08-01
Facility A,Data Hall 2,Row G,NWK-R43,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R43-HUMI,SENS-13862,SN-SENS-681896,Vertiv,Geist Humidity Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.5.58,,2022-06-13,2027-02-24,Active,Cold Aisle 3,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-07-08
Facility A,Data Hall 1,Row D,NWK-R06,40U,1U,Patch Panel,PP-NWK-R06-Top,PP-97819,SN-PP-228168,Panduit,24-Port LC Fiber,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2022-12-02,N/A,Active,Cold Aisle 1,7,Under-floor Path 1,Facilities,Cabling Infrastructure,29 ports in use of 24 total
Facility A,Data Hall 3,Row E,NWK-R05,1U,1U,Patch Panel,PP-NWK-R05-Bottom,PP-25765,SN-PP-893969,Panduit,48-Port Cat6A,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2020-04-26,N/A,Active,Hot Aisle 2,4,Overhead Tray A,Facilities,Cabling Infrastructure,31 ports in use of 24 total
Facility A,Data Hall 3,Row D,NWK-R57,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R57-AIRF,SENS-76995,SN-SENS-393880,Vertiv,Geist Airflow Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.7.57,,2022-01-17,2029-08-18,Active,Cold Aisle 3,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-07-28
Facility A,Data Hall 1,Row G,NWK-R65,N/A (Virtual),0U,Virtual Machine,VM-PRD-164,VM-89471,N/A,VMware,vSphere 7.0,0,16,0,N/A,N/A,vmnic3,vmnic6,VLAN-128,,10.10.2.62,2024-05-28,N/A,Suspended,Cold Aisle 2,0,N/A,Compliance & Regulatory,Prod_App_164,Guest OS: Windows Server 2019; vCPUs: 16; Host: SVR-NWK-023
Facility A,Data Hall 2,Row B,NWK-R26,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R26-AIRF,SENS-40988,SN-SENS-704413,Vertiv,Geist Airflow Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.1.73,,2021-11-26,2026-08-10,Active,Cold Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-09-17
Facility A,Data Hall 2,Row F,NWK-R46,42U,0U,PDU,PDU-NWK-R46-B,PDU-91948,SN-PDU-433580,Vertiv,Vertiv MPH2 ?,0,0,27,Ckt-B-7,N/A,Mgmt-4,,VLAN-200,10.100.7.140,,2020-11-06,2029-03-07,Active,Cold Aisle 3,11,Under-floor Path 1,Facilities,Power Distribution,Rated capacity: 8.6 kW
Facility A,Data Hall 1,Row F,NWK-R11,30U,1U,Cable Management,CM-NWK-R11-30,CM-86986,N/A,CPI,Horizontal Cable Manager 2U,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2019-01-09,N/A,Active,Hot Aisle 2,2,N/A,Facilities,Cable Management,
Facility A,Data Hall 2,Row G,NWK-R43,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R43-TEMP,SENS-88263,SN-SENS-657381,Vertiv,Geist Temperature Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.2.48,,2022-09-15,2026-01-08,Active,Cold Aisle 1,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-08-13
Facility A,Data Hall 1,Row H,NWK-R38,41U,0U,PDU,PDU-NWK-R38-A,PDU-37175,SN-PDU-938403,Raritan,Raritan PX3-5902V,0,0,28,Ckt-A-7,N/A,Mgmt-1,,VLAN-200,10.100.6.90,,2023-11-07,2026-11-07,Active,Cold Aisle 1,9,Overhead Tray A,Facilities,Power Distribution,Rated capacity: 8.6 kW
Facility A,Data Hall 3,Row E,NWK-R48,30U,1U,Cable Management,CM-NWK-R48-30,CM-30631,N/A,CPI,Horizontal Cable Manager 2U,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2021-05-24,N/A,Active,Cold Aisle 1,2,N/A,Facilities,Cable Management,
Facility A,Data Hall 2,Row B,NWK-R31,30U,1U,Cable Management,CM-NWK-R31-30,CM-20348,N/A,CPI,Horizontal Cable Manager 2U,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2022-12-02,N/A,Active,Cold Aisle 3,3,N/A,Facilities,Cable Management,
Facility A,Data Hall 3,Row B,NWK-R14,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R14-POWE,SENS-18729,SN-SENS-507523,Vertiv,Geist Power Meter Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.5.170,,2023-02-01,2028-11-13,Active,Cold Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-06-16
Facility A,Data Hall 1,Row D,NWK-R63,40U,1U,Patch Panel,PP-NWK-R63-Top,PP-18992,SN-PP-970127,CommScope,48-Port Cat6A,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2020-04-11,N/A,Active,Hot Aisle 2,7,Overhead Tray A,Facilities,Cabling Infrastructure,26 ports in use of 24 total
Facility A,Data Hall 3,Row A,NWK-R27,17U,2U,Server,SVR-NWK-007,AST-1007,SN-DC-2021-0007,Dell,PowerEdge R650,1,384,381,Ckt-A-6,PDU-B-08,Eth-4/2,Eth-37/1,VLAN-105,10.100.0.6,10.10.0.6,2024-08-27,2026-09-25,Active,Hot Aisle 2,43,Under-floor Path 2,Risk Analytics,App-34,
Facility A,Data Hall 3,Row B,NWK-R14,40U,1U,Patch Panel,PP-NWK-R14-Top,PP-18950,SN-PP-591699,Panduit,48-Port Cat6A Angled,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2021-05-19,N/A,Active,Hot Aisle 1,5,Side Cable Mgmt,Facilities,Cabling Infrastructure,20 ports in use of 48 total
Facility A,Data Hall 3,Row A,NWK-R13,40U,1U,Patch Panel,PP-NWK-R13-Top,PP-16265,SN-PP-787584,Panduit,24-Port LC Fiber,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2019-06-14,N/A,Active,Cold Aisle 2,8,Under-floor Path 2,Facilities,Cabling Infrastructure,46 ports in use of 48 total
Facility A,Data Hall 2,Row C,NWK-R49,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R49-HUMI,SENS-35987,SN-SENS-374499,Vertiv,Geist Humidity Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.3.13,,2024-10-14,2028-03-03,Active,Hot Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-01-23
Facility A,Data Hall 1,Row H,NWK-R67,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R67-HUMI,SENS-92150,SN-SENS-162790,Vertiv,Geist Humidity Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.9.52,,2023-08-05,2027-03-24,Active,Cold Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-06-28
Facility A,Data Hall 1,Row E,NWK-R50,42U,0U,PDU,PDU-NWK-R50-B,PDU-17120,SN-PDU-773459,ServerTech,ServerTech CWG-24VYM415,0,0,23,Ckt-B-2,N/A,Mgmt-1,,VLAN-200,10.100.3.119,,2022-08-10,2029-12-25,Active,Cold Aisle 3,8,Under-floor Path 2,Facilities,Power Distribution,Rated capacity: 8.6 kW
Facility A,Data Hall 1,Row G,NWK-R41,1U,1U,Patch Panel,PP-NWK-R41-Bottom,PP-54676,SN-PP-480992,Leviton,48-Port Cat6A,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2022-06-18,N/A,Active,Cold Aisle 3,7,Under-floor Path 2,Facilities,Cabling Infrastructure,40 ports in use of 48 total
Facility A,Data Hall 2,Row H,NWK-R18,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R18-TEMP,SENS-75374,SN-SENS-544536,Vertiv,Geist Temperature Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.4.108,,2023-06-28,2029-05-15,Active,Cold Aisle 3,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-10-22
Facility A,Data Hall 3,Row F,NWK-R66,20U,1U,Cable Management,CM-NWK-R66-20,CM-10395,N/A,CPI,Horizontal Cable Manager 2U,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2020-10-03,N/A,Active,Hot Aisle 1,5,N/A,Facilities,Cable Management,
Facility A,Data Hall 3,Row H,NWK-R34,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R34-TEMP,SENS-39151,SN-SENS-720517,Vertiv,Geist Temperature Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.3.234,,2021-07-02,2026-08-24,Active,Hot Aisle 1,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-09-13
Facility A,Data Hall 1,Row A,NWK-R39,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R39-HUMI,SENS-57089,SN-SENS-610135,Vertiv,Geist Humidity Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.2.227,,2024-12-07,2027-01-07,Active,Cold Aisle 3,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-08-13
Facility A,Data Hall 2,Row C,NWK-R37,20U,1U,Cable Management,CM-NWK-R37-20,CM-42819,N/A,CPI,Horizontal Cable Manager 2U,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2019-06-22,N/A,Active,Hot Aisle 2,2,N/A,Facilities,Cable Management,
Facility A,Data Hall 1,Row F,NWK-R56,20U,1U,Cable Management,CM-NWK-R56-20,CM-36619,N/A,CPI,Horizontal Cable Manager 2U,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2022-04-21,N/A,Active,Cold Aisle 1,3,N/A,Facilities,Cable Management,
Facility A,Data Hall 3,Row H,NWK-R27,N/A (Virtual),0U,Virtual Machine,VM-PRD-138,VM-70931,N/A,VMware,vSphere 7.0,0,64,0,N/A,N/A,vmnic6,vmnic4,VLAN-120,,10.10.2.52,2022-02-09,N/A,Active,Hot Aisle 2,0,N/A,Compliance & Regulatory,Prod_App_138,Guest OS: Windows Server 2022; vCPUs: 16; Host: SVR-NWK-019
Facility A,Data Hall 2,Row E,NWK-R50,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R50-TEMP,SENS-65666,SN-SENS-860427,Vertiv,Geist Temperature Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.8.72,,2023-11-13,2028-08-22,Needs Calibration,Cold Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-09-09
Facility A,Data Hall 1,Row F,NWK-R11,20U,1U,Cable Management,CM-NWK-R11-20,CM-57895,N/A,CPI,Horizontal Cable Manager 2U,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2020-08-25,N/A,Active,Hot Aisle 1,2,N/A,Facilities,Cable Management,
Facility A,Data Hall 1,Row D,NWK-R34,N/A (Virtual),0U,Virtual Machine,VM-PRD-113,VM-65069,N/A,VMware,vSphere 7.0,0,16,0,N/A,N/A,vmnic6,vmnic0,VLAN-136,,10.10.2.41,2024-08-01,N/A,Active,Cold Aisle 1,0,N/A,Compliance & Regulatory,Prod_App_113,Guest OS: Windows Server 2019; vCPUs: 16; Host: SVR-NWK-079
Facility A,Data Hall 3,Row A,NWK-R27,30U,1U,Cable Management,CM-NWK-R27-30,CM-22571,N/A,CPI,Horizontal Cable Manager 2U,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2019-07-19,N/A,Active,Cold Aisle 3,5,N/A,Facilities,Cable Management,
Facility A,Data Hall 1,Row E,NWK-R65,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R65-POWE,SENS-79185,SN-SENS-862057,Vertiv,Geist Power Meter Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.5.73,,2022-12-28,2029-02-05,Active,Cold Aisle 3,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-12-10
Facility A,Data Hall 2,Row A,NWK-R20,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R20-TEMP,SENS-50345,SN-SENS-772188,Vertiv,Geist Temperature Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.10.19,,2024-01-04,2029-10-06,Active,Cold Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-12-12
Facility A,Data Hall 1,Row A,NWK-R54,41U,0U,PDU,PDU-NWK-R54-A,PDU-97111,SN-PDU-509451,Raritan,Raritan PX3-5902V,0,0,23,Ckt-A-3,N/A,Mgmt-3,,VLAN-200,10.100.7.148,,2019-09-23,2029-08-14,Active,Cold Aisle 2,6,Side Cable Mgmt,Facilities,Power Distribution,Rated capacity: 5.7 kW
Facility A,Data Hall 1,Row D,NWK-R06,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R06-POWE,SENS-30315,SN-SENS-489439,Vertiv,Geist Power Meter Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.2.64,,2022-08-03,2028-11-02,Active,Cold Aisle 1,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-12-18
Facility A,Data Hall 1,Row C,NWK-R09,12U,2U,Server,SVR-NWK-077,AST-1077,SN-DC-2022-0077,Dell,PowerEdge R650,1,384,342,Ckt-B-6,PDU-B-18,Eth-9/1,Eth-5/3,VLAN-125,10.100.0.39,10.10.0.39,2024-12-16,2029-07-27,Active,Cold Aisle 3,39,Overhead Tray B,IT Operations,App-83,
Facility A,Data Hall 3,Row D,NWK-R27,42U,0U,PDU,PDU-NWK-R27-B,PDU-49953,SN-PDU-277477,Raritan,Raritan PX3-5902V,0,0,26,Ckt-B-8,N/A,Mgmt-2,,VLAN-200,10.100.8.12,,2020-04-22,2028-03-25,Active,Hot Aisle 1,6,Overhead Tray A,Facilities,Power Distribution,Rated capacity: 5.7 kW
Facility A,Data Hall 3,Row B,NWK-R09,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R09-AIRF,SENS-70341,SN-SENS-472932,Vertiv,Geist Airflow Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.3.36,,2023-06-19,2027-04-09,Active,Hot Aisle 1,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-10-07
Facility A,Data Hall 2,Row H,NWK-R21,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R21-AIRF,SENS-44116,SN-SENS-278117,Vertiv,Geist Airflow Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.9.127,,2023-08-05,2026-06-23,Active,Cold Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-05-04
Facility A,Data Hall 3,Row F,NWK-R66,40U,1U,Patch Panel,PP-NWK-R66-Top,PP-69873,SN-PP-691303,Leviton,48-Port Cat6A Angled,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2022-11-26,N/A,Active,Cold Aisle 1,8,Overhead Tray A,Facilities,Cabling Infrastructure,30 ports in use of 48 total
Facility A,Data Hall 3,Row G,NWK-R01,41U,0U,PDU,PDU-NWK-R01-A,PDU-55224,SN-PDU-610511,ServerTech,ServerTech CWG-24VYM415,0,0,30,Ckt-A-1,N/A,Mgmt-2,,VLAN-200,10.100.8.43,,2020-02-17,2028-04-05,Active,Hot Aisle 2,7,Under-floor Path 1,Facilities,Power Distribution,Rated capacity: 17.3 kW
Facility A,Data Hall 3,Row B,NWK-R03,30U,1U,Cable Management,CM-NWK-R03-30,CM-56861,N/A,CPI,Horizontal Cable Manager 2U,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2022-10-09,N/A,Active,Hot Aisle 1,4,N/A,Facilities,Cable Management,
Facility A,Data Hall 2,Row H,NWK-R05,30U,4U,Storage Array,SAN-38,STG-16086,SN-STG-141843,HPE,HPE Nimble AF60,2,512,1463,Ckt-A-5,PDU-B-19,FC-3,FC-7,VLAN-300,10.30.0.168,10.30.1.97,2021-10-21,2026-09-09,Active,Cold Aisle 2,196,Overhead Tray B,IT Operations,Storage Infrastructure,
Facility A,Data Hall 3,Row A,NWK-R13,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R13-HUMI,SENS-35971,SN-SENS-847528,Vertiv,Geist Humidity Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.9.21,,2024-10-05,2026-12-15,Active,Cold Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-11-21
Facility A,Data Hall 1,Row F,NWK-R56,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R56-TEMP,SENS-16269,SN-SENS-965553,Vertiv,Geist Temperature Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.1.36,,2021-06-28,2029-04-06,Active,Hot Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-09-01
Facility A,Data Hall 2,Row F,NWK-R46,41U,0U,PDU,PDU-NWK-R46-A,PDU-86379,SN-PDU-108513,Raritan,Raritan PX3-5902V,0,0,27,Ckt-A-3,N/A,Mgmt-3,,VLAN-200,10.100.1.95,,2023-01-01,2028-02-28,Active,Cold Aisle 1,5,Overhead Tray B,Facilities,Power Distribution,Rated capacity: 8.6 kW
Facility A,Data Hall 3,Row A,NWK-R27,40U,1U,Patch Panel,PP-NWK-R27-Top,PP-14062,SN-PP-552275,CommScope,48-Port Cat6A,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2022-03-02,N/A,Active,Hot Aisle 1,5,Overhead Tray B,Facilities,Cabling Infrastructure,24 ports in use of 48 total
