Timestamp,Array_ID,Array_Type,LUN_ID,Workload_ID,IOPS_Read,IOPS_Write,IOPS_Total,Throughput_Read_MBs,Throughput_Write_MBs,Throughput_Total_MBs,Latency,Queue_Depth,Cache_Hit_Pct,Utilization_Pct
2026-07-01 08:00:00,SAN-NWK-02,SAN,LUN-SAN-NWK-02-006,WKL-FIN-018,44803,4062,48865,452.59,68.24,520.83,10.05,42,73.93,74.55
2026-07-01 08:00:00,NAS-NWK-01,NAS,LUN-NAS-NWK-01-003,WKL-FIN-023,35706,750,36456,743.58,9.4,752.98,16.93,19,71.24,21.42
2026-07-01 08:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-047,WKL-OPS-009,111507,33865,145372,1682.67,1115.23,2797.9,2.53,207,20.68,96.96
2026-07-01 12:00:00,NVM-NWK-01,NVMe,LUN-NVM-NWK-01-007,WKL-FIN-007,25554,21966,47520,955.05,448.05,1403.1,248,21,58.29,81.33
2026-07-01 12:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-003,WKL-OPS-010,47314,22498,69812,705.02,287.63,992.65,14.19,11,36.22,53.54
2026-07-01 12:00:00,SAN-NWK-02,SAN,LUN-SAN-NWK-02-005,WKL-FIN-022,64792,9843,74635,1206.53,117.95,1324.48,6.47,7,90.41,29.17
2026-07-01 12:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-047,WKL-OPS-009,116698,43008,159706,1046.68,1567.55,2614.23,8.87,234,18.51,98.16
2026-07-01 12:00:00,NAS-STM-01,NAS,LUN-NAS-STM-012,WKL-OPS-013,107602,52827,160429,3334.33,1663.75,4998.08,21.94,164,13.31,96.06
2026-07-01 16:00:00,NVM-STM-01,NVMe,LUN-NVM-STM-01-003,WKL-OPS-008,47560,3510,51070,1899.54,81.81,1981.35,146,27,70.9,60.23
2026-07-01 16:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-003,WKL-OPS-010,15598,14725,30323,345.59,238.64,584.23,7.97,11,57.17,11.11
2026-07-01 16:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-006,WKL-OPS-004,14713,703,15416,557.93,25.38,583.31,7.95,21,61.04,79.37
2026-07-01 16:00:00,SAN-NWK-02,SAN,LUN-SAN-NWK-02-005,WKL-FIN-022,20188,9075,29263,494.38,97.79,592.17,10.53,52,87.93,53.21
2026-07-01 16:00:00,SAN-STM-01,SAN,LUN-SAN-STM-01-004,WKL-FIN-006,52858,22408,75266,1377.13,223.55,1600.68,8.89,47,40.0,47.08
2026-07-01 16:00:00,SAN-STM-01,SAN,LUN-SAN-STM-01-005,WKL-FIN-025,50890,10386,61276,1798.63,229.93,2028.56,10.68,20,45.53,50.38
2026-07-01 16:00:00,NAS-STM-01,NAS,LUN-NAS-STM-01-005,WKL-OPS-011,67312,16210,83522,1661.26,344.2,2005.46,9.05,19,98.08,25.53
2026-07-01 16:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-047,WKL-OPS-009,114727,59080,173807,2486.18,1409.64,3895.82,14.63,172,18.64,99.23
2026-07-01 20:00:00,SAN-NWK-02,SAN,LUN-SAN-NWK-02-002,WKL-FIN-001,24068,9569,33637,264.22,259.68,523.9,5.88,12,57.65,15.64
2026-07-01 20:00:00,SAN-STM-01,SAN,LUN-SAN-STM-01-004,WKL-FIN-006,10177,10266,20443,340.53,216.54,557.07,8.24,9,87.41,67.03
2026-07-01 20:00:00,NAS-NWK-01,NAS,LUN-NAS-NWK-01-002,WKL-FIN-023,25190,2158,27348,487.69,61.94,549.63,3.97,32,77.09,16.09
2026-07-02 00:00:00,NVM-NWK-01,NVMe,LUN-NVM-NWK-01-007,WKL-FIN-007,10187,8252,18439,126.88,120.58,247.46,102,55,45.62,71.72
2026-07-02 00:00:00,SAN-NWK-02,SAN,LUN-SAN-NWK-02-004,WKL-OPS-003,23800,6780,30580,496.77,193.21,689.98,8.76,54,62.11,54.51
2026-07-02 04:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-002,WKL-FIN-013,29745,2244,31989,490.4,35.87,526.27,2.42,43,63.58,68.8
2026-07-02 04:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-004,WKL-OPS-002,23179,8896,32075,541.08,317.14,858.22,10.29,49,41.49,33.99
2026-07-02 04:00:00,SAN-NWK-02,SAN,LUN-SAN-NWK-02-004,WKL-OPS-003,10053,4127,14180,117.58,136.67,254.25,7.86,11,65.31,55.23
2026-07-02 04:00:00,SAN-STM-01,SAN,LUN-SAN-STM-01-003,WKL-FIN-007,10280,4630,14910,306.96,66.96,373.92,12.6,55,40.02,17.34
2026-07-02 08:00:00,NVM-STM-01,NVMe,LUN-NVM-STM-01-003,WKL-OPS-008,17407,20277,37684,212.34,638.53,850.87,200,29,81.54,9.42
2026-07-02 08:00:00,NVM-STM-01,NVMe,LUN-NVM-STM-01-004,WKL-OPS-014,50806,8755,59561,1447.48,286.11,1733.59,209,5,59.01,17.11
2026-07-02 08:00:00,SAN-NWK-02,SAN,LUN-SAN-NWK-02-003,WKL-FIN-011,34890,9438,44328,582.62,192.0,774.62,12.98,52,96.59,16.42
2026-07-02 08:00:00,NAS-NWK-01,NAS,LUN-NAS-NWK-01-002,WKL-FIN-023,23113,22786,45899,453.6,512.25,965.85,5.14,61,80.87,32.57
2026-07-02 08:00:00,NAS-STM-01,NAS,LUN-NAS-STM-01-005,WKL-OPS-011,18679,25216,43895,604.17,655.44,1259.61,15.82,42,80.46,48.14
2026-07-02 08:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-047,WKL-OPS-009,101038,56241,157279,2498.4,495.41,2993.81,3.46,236,21.74,96.44
2026-07-02 12:00:00,NVM-NWK-01,NVMe,LUN-NVM-NWK-01-007,WKL-FIN-007,59875,2949,62824,1576.25,57.38,1633.63,250,39,66.4,65.25
2026-07-02 12:00:00,NVM-NWK-02,NVMe,LUN-NVM-NWK-02-005,WKL-FIN-003,54306,14350,68656,1318.52,338.34,1656.86,125,48,67.92,9.83
2026-07-02 12:00:00,NVM-NWK-02,NVMe,LUN-NVM-NWK-02-006,WKL-FIN-002,65247,9912,75159,871.48,382.61,1254.09,187,11,95.69,31.7
2026-07-02 12:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-002,WKL-FIN-013,63528,7531,71059,530.89,271.06,801.95,3.41,48,96.27,30.06
2026-07-02 12:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-006,WKL-OPS-004,20605,24396,45001,597.03,273.27,870.3,9.86,46,43.21,78.41
2026-07-02 12:00:00,SAN-NWK-02,SAN,LUN-SAN-NWK-02-004,WKL-OPS-003,54147,10104,64251,1978.93,355.53,2334.46,10.03,10,81.56,27.48
2026-07-02 12:00:00,SAN-NWK-02,SAN,LUN-SAN-NWK-02-007,WKL-FIN-010,50461,25537,75998,1473.75,897.25,2371.0,12.39,47,67.14,14.7
2026-07-02 12:00:00,NAS-NWK-01,NAS,LUN-NAS-NWK-01-003,WKL-FIN-023,12831,11770,24601,300.35,274.5,574.85,7.64,43,81.1,38.68
2026-07-02 12:00:00,NAS-NWK-01,NAS,LUN-NAS-NWK-01-006,WKL-FIN-003,63880,1365,65245,953.79,37.41,991.2,13.37,37,95.62,73.01
2026-07-02 12:00:00,NAS-NWK-01,NAS,LUN-NAS-NWK-01-007,WKL-OPS-005,48549,8833,57382,1622.88,302.57,1925.45,7.0,53,73.45,24.23
2026-07-02 12:00:00,NAS-STM-01,NAS,LUN-NAS-STM-01-001,WKL-OPS-010,66045,25557,91602,1789.1,260.76,2049.86,11.32,44,94.03,27.57
2026-07-02 12:00:00,NAS-STM-01,NAS,LUN-NAS-STM-01-002,WKL-FIN-008,14196,5785,19981,388.63,79.12,467.75,22.84,54,87.9,9.23
2026-07-02 12:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-047,WKL-OPS-009,68239,43923,112162,557.86,1396.6,1954.46,1.6,232,12.38,97.91
2026-07-02 12:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-048,WKL-OPS-011,111367,35791,147158,3341.96,648.13,3990.09,6.39,224,19.13,97.54
2026-07-02 16:00:00,NVM-NWK-01,NVMe,LUN-NVM-NWK-01-006,WKL-FIN-009,40584,26058,66642,1389.89,742.37,2132.26,162,8,95.53,29.2
2026-07-02 16:00:00,NVM-NWK-02,NVMe,LUN-NVM-NWK-02-005,WKL-FIN-003,50662,14913,65575,1956.3,537.4,2493.7,258,15,86.39,33.16
2026-07-02 16:00:00,SAN-STM-01,SAN,LUN-SAN-STM-01-003,WKL-FIN-007,25936,4384,30320,260.43,158.34,418.77,8.9,51,41.59,23.58
2026-07-02 16:00:00,NAS-NWK-01,NAS,LUN-NAS-NWK-01-007,WKL-OPS-005,25765,8475,34240,387.99,89.28,477.27,16.76,50,88.02,60.91
2026-07-02 16:00:00,NAS-STM-01,NAS,LUN-NAS-STM-01-001,WKL-OPS-010,51984,13812,65796,1835.63,191.12,2026.75,9.37,35,61.43,29.07
2026-07-02 16:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-048,WKL-OPS-011,103543,42148,145691,3264.74,463.91,3728.65,10.49,136,11.39,98.57
2026-07-02 20:00:00,NVM-NWK-01,NVMe,LUN-NVM-NWK-01-002,WKL-FIN-002,31144,5205,36349,572.56,69.52,642.08,120,31,75.51,80.02
2026-07-02 20:00:00,NVM-NWK-02,NVMe,LUN-NVM-NWK-02-002,WKL-FIN-006,25998,3887,29885,889.69,98.46,988.15,166,20,63.76,13.1
2026-07-02 20:00:00,NVM-NWK-02,NVMe,LUN-NVM-NWK-02-004,WKL-OPS-003,11514,7565,19079,343.84,245.89,589.73,89,50,47.15,61.35
2026-07-02 20:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-001,WKL-OPS-011,23712,7951,31663,874.49,203.57,1078.06,14.96,57,94.75,56.66
2026-07-02 20:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-005,WKL-FIN-015,13219,11937,25156,300.49,155.13,455.62,5.08,20,41.03,49.17
2026-07-02 20:00:00,NAS-NWK-01,NAS,LUN-NAS-NWK-01-002,WKL-FIN-023,13004,1427,14431,378.83,41.69,420.52,23.08,2,39.26,42.41
2026-07-03 00:00:00,NVM-NWK-01,NVMe,LUN-NVM-NWK-01-004,WKL-FIN-016,18009,7387,25396,404.33,254.59,658.92,60,5,68.32,37.17
2026-07-03 00:00:00,NVM-NWK-01,NVMe,LUN-NVM-NWK-01-005,WKL-FIN-015,11832,12107,23939,290.07,341.18,631.25,62,6,70.69,47.8
2026-07-03 00:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-002,WKL-FIN-013,29413,12342,41755,804.53,410.02,1214.55,11.04,62,81.34,81.05
2026-07-03 00:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-007,WKL-OPS-013,25790,7639,33429,488.04,238.19,726.23,9.82,15,78.89,64.76
2026-07-03 00:00:00,SAN-NWK-02,SAN,LUN-SAN-NWK-02-003,WKL-FIN-011,19549,1494,21043,580.65,38.49,619.14,1.75,39,71.16,69.8
2026-07-03 00:00:00,NAS-NWK-01,NAS,LUN-NAS-NWK-01-007,WKL-OPS-005,12397,8546,20943,449.23,192.33,641.56,3.67,43,85.48,37.01
2026-07-03 00:00:00,NAS-STM-01,NAS,LUN-NAS-STM-01-004,WKL-FIN-006,27670,10098,37768,524.36,305.08,829.44,6.81,56,71.3,66.04
2026-07-03 04:00:00,NVM-NWK-01,NVMe,LUN-NVM-NWK-01-007,WKL-FIN-007,20594,3324,23918,753.63,100.56,854.19,288,54,90.05,14.27
2026-07-03 04:00:00,NVM-NWK-02,NVMe,LUN-NVM-NWK-02-003,WKL-OPS-013,17394,977,18371,202.14,22.87,225.01,226,62,80.11,80.39
2026-07-03 04:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-003,WKL-OPS-010,24989,5569,30558,315.98,199.64,515.62,1.66,50,65.37,36.11
2026-07-03 04:00:00,SAN-STM-01,SAN,LUN-SAN-STM-01-002,WKL-FIN-022,23069,11176,34245,186.99,430.64,617.63,12.54,9,69.57,40.27
2026-07-03 04:00:00,NAS-STM-01,NAS,LUN-NAS-STM-01-003,WKL-FIN-025,20683,5798,26481,689.03,163.68,852.71,11.27,6,43.54,76.5
2026-07-03 08:00:00,NVM-NWK-02,NVMe,LUN-NVM-NWK-02-007,WKL-FIN-006,30276,12199,42475,890.39,160.75,1051.14,167,12,36.02,55.93
2026-07-03 08:00:00,NVM-STM-01,NVMe,LUN-NVM-STM-01-001,WKL-FIN-014,57270,1648,58918,2060.25,34.56,2094.81,252,60,84.4,80.26
2026-07-03 08:00:00,SAN-NWK-02,SAN,LUN-SAN-NWK-02-002,WKL-FIN-001,65662,16488,82150,1717.2,605.85,2323.05,5.64,57,64.31,43.97
2026-07-03 08:00:00,SAN-STM-01,SAN,LUN-SAN-STM-01-001,WKL-FIN-014,54888,25389,80277,948.16,970.07,1918.23,14.74,38,65.33,32.51
2026-07-03 08:00:00,NAS-NWK-01,NAS,LUN-NAS-NWK-01-002,WKL-FIN-023,45001,4755,49756,958.5,105.37,1063.87,6.6,57,82.46,23.96
2026-07-03 08:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-048,WKL-OPS-011,110937,43831,154768,4156.7,579.31,4736.01,4.44,252,15.0,96.85
2026-07-03 08:00:00,NAS-STM-01,NAS,LUN-NAS-STM-012,WKL-OPS-013,109483,40867,150350,4085.14,479.37,4564.51,5.89,157,15.09,99.01
2026-07-03 12:00:00,NVM-NWK-01,NVMe,LUN-NVM-NWK-01-004,WKL-FIN-016,12181,4270,16451,114.02,48.89,162.91,253,62,83.47,9.39
2026-07-03 12:00:00,NVM-NWK-02,NVMe,LUN-NVM-NWK-02-007,WKL-FIN-006,23403,20467,43870,239.35,714.58,953.93,171,55,47.08,29.5
2026-07-03 12:00:00,NVM-STM-01,NVMe,LUN-NVM-STM-01-004,WKL-OPS-014,24091,21324,45415,783.23,575.68,1358.91,243,36,83.95,61.66
2026-07-03 12:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-006,WKL-OPS-004,30990,8517,39507,633.76,276.36,910.12,9.18,18,55.0,44.37
2026-07-03 12:00:00,SAN-NWK-02,SAN,LUN-SAN-NWK-02-007,WKL-FIN-010,50623,17139,67762,1111.26,409.66,1520.92,12.94,39,58.25,20.33
2026-07-03 12:00:00,NAS-STM-01,NAS,LUN-NAS-STM-01-002,WKL-FIN-008,58641,19615,78256,878.22,223.97,1102.19,7.71,31,94.87,67.63
2026-07-03 12:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-048,WKL-OPS-011,112582,41617,154199,4361.87,1568.14,5930.01,13.89,227,8.13,99.13
2026-07-03 12:00:00,NAS-STM-01,NAS,LUN-NAS-STM-012,WKL-OPS-013,89578,34435,124013,3180.14,452.04,3632.18,12.65,188,13.06,99.5
2026-07-03 16:00:00,NVM-NWK-02,NVMe,LUN-NVM-NWK-02-004,WKL-OPS-003,45801,24738,70539,1629.69,817.04,2446.73,123,27,47.19,16.77
2026-07-03 16:00:00,NVM-STM-01,NVMe,LUN-NVM-STM-01-005,WKL-FIN-002,14167,4855,19022,166.31,45.7,212.01,82,56,44.07,31.48
2026-07-03 16:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-047,WKL-OPS-009,101005,53265,154270,2218.01,701.11,2919.12,11.3,216,15.62,95.65
2026-07-03 16:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-048,WKL-OPS-011,106128,46900,153028,3175.26,1758.54,4933.8,13.02,184,17.99,97.16
2026-07-03 16:00:00,NAS-STM-01,NAS,LUN-NAS-STM-012,WKL-OPS-013,106051,36445,142496,3675.58,1076.56,4752.14,19.16,227,24.32,99.25
2026-07-03 20:00:00,NVM-NWK-01,NVMe,LUN-NVM-NWK-01-004,WKL-FIN-016,23656,942,24598,656.74,11.17,667.91,107,44,62.56,67.7
2026-07-03 20:00:00,NVM-NWK-02,NVMe,LUN-NVM-NWK-02-004,WKL-OPS-003,19598,8481,28079,629.34,182.3,811.64,108,32,44.7,54.58
2026-07-03 20:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-002,WKL-FIN-013,14503,9906,24409,506.6,161.59,668.19,8.35,15,81.85,81.03
2026-07-03 20:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-005,WKL-FIN-015,31407,3420,34827,770.3,48.43,818.73,12.01,32,41.73,60.86
2026-07-03 20:00:00,SAN-NWK-02,SAN,LUN-SAN-NWK-02-007,WKL-FIN-010,22633,7313,29946,525.25,227.0,752.25,9.68,44,85.01,49.87
2026-07-03 20:00:00,NAS-NWK-01,NAS,LUN-NAS-NWK-01-001,WKL-FIN-007,27146,10399,37545,256.24,370.03,626.27,3.51,42,60.72,14.26
2026-07-03 20:00:00,NAS-NWK-01,NAS,LUN-NAS-NWK-01-002,WKL-FIN-023,20608,4349,24957,224.89,171.15,396.04,14.92,41,59.45,38.71
2026-07-03 20:00:00,NAS-STM-01,NAS,LUN-NAS-STM-01-003,WKL-FIN-025,21283,1168,22451,593.02,33.75,626.77,6.68,60,96.51,8.07
2026-07-04 00:00:00,NVM-STM-01,NVMe,LUN-NVM-STM-01-001,WKL-FIN-014,11897,2683,14580,407.98,66.08,474.06,110,44,88.28,43.04
2026-07-04 00:00:00,NVM-STM-01,NVMe,LUN-NVM-STM-01-003,WKL-OPS-008,17872,7395,25267,178.44,249.04,427.48,64,9,85.09,73.87
2026-07-04 00:00:00,SAN-NWK-02,SAN,LUN-SAN-NWK-02-001,WKL-FIN-018,15635,3931,19566,585.35,111.8,697.15,10.86,6,66.74,15.76
2026-07-04 00:00:00,SAN-NWK-02,SAN,LUN-SAN-NWK-02-007,WKL-FIN-010,17641,4140,21781,178.03,52.25,230.28,13.98,56,91.22,77.65
2026-07-04 00:00:00,NAS-STM-01,NAS,LUN-NAS-STM-01-003,WKL-FIN-025,21726,8023,29749,471.92,306.01,777.93,12.19,41,89.13,66.6
2026-07-04 04:00:00,NAS-NWK-01,NAS,LUN-NAS-NWK-01-003,WKL-FIN-023,29967,1843,31810,359.1,69.72,428.82,6.57,5,98.52,38.25
2026-07-04 08:00:00,NVM-NWK-02,NVMe,LUN-NVM-NWK-02-007,WKL-FIN-006,53746,24630,78376,2032.51,801.04,2833.55,203,43,90.8,14.69
2026-07-04 08:00:00,NVM-STM-01,NVMe,LUN-NVM-STM-01-004,WKL-OPS-014,31752,3490,35242,1249.61,63.62,1313.23,143,25,89.22,51.66
2026-07-04 08:00:00,SAN-NWK-02,SAN,LUN-SAN-NWK-02-005,WKL-FIN-022,49233,15327,64560,985.25,461.92,1447.17,12.24,23,76.78,58.91
2026-07-04 12:00:00,NVM-NWK-02,NVMe,LUN-NVM-NWK-02-006,WKL-FIN-002,40065,18847,58912,1008.26,313.3,1321.56,162,55,92.1,30.15
2026-07-04 12:00:00,NVM-STM-01,NVMe,LUN-NVM-STM-01-001,WKL-FIN-014,20709,5889,26598,444.7,109.53,554.23,58,6,43.56,22.03
2026-07-04 12:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-001,WKL-OPS-011,29655,14320,43975,381.95,348.83,730.78,4.87,55,50.86,43.96
2026-07-04 12:00:00,SAN-NWK-02,SAN,LUN-SAN-NWK-02-003,WKL-FIN-011,53188,18714,71902,1079.16,681.01,1760.17,3.26,36,48.44,25.63
2026-07-04 12:00:00,NAS-NWK-01,NAS,LUN-NAS-NWK-01-003,WKL-FIN-023,14334,20520,34854,140.94,699.93,840.87,21.13,38,55.78,74.48
2026-07-04 12:00:00,NAS-STM-01,NAS,LUN-NAS-STM-01-004,WKL-FIN-006,14193,12655,26848,398.49,106.71,505.2,24.26,35,44.13,64.99
2026-07-04 12:00:00,NAS-STM-01,NAS,LUN-NAS-STM-01-005,WKL-OPS-011,11653,17082,28735,272.37,444.32,716.69,12.78,11,47.95,71.1
2026-07-04 16:00:00,NVM-NWK-01,NVMe,LUN-NVM-NWK-01-006,WKL-FIN-009,48231,3757,51988,815.65,40.93,856.58,82,55,96.41,16.37
2026-07-04 16:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-002,WKL-FIN-013,38601,8550,47151,549.35,98.06,647.41,2.55,48,76.39,12.05
2026-07-04 16:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-005,WKL-FIN-015,48759,2694,51453,403.3,52.3,455.6,5.31,12,95.38,11.56
2026-07-04 16:00:00,NAS-STM-01,NAS,LUN-NAS-STM-01-003,WKL-FIN-025,32304,6033,38337,1005.08,239.05,1244.13,23.75,53,51.82,66.61
2026-07-04 16:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-048,WKL-OPS-011,104826,50350,155176,2267.09,1972.22,4239.31,6.03,218,22.08,97.03
2026-07-04 20:00:00,NVM-NWK-02,NVMe,LUN-NVM-NWK-02-006,WKL-FIN-002,11557,5296,16853,390.94,106.45,497.39,116,32,81.48,29.97
2026-07-04 20:00:00,NVM-STM-01,NVMe,LUN-NVM-STM-01-005,WKL-FIN-002,16286,8164,24450,516.82,307.38,824.2,99,1,45.14,43.81
2026-07-04 20:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-003,WKL-OPS-010,25859,6960,32819,989.96,261.11,1251.07,4.88,64,62.91,42.56
2026-07-04 20:00:00,NAS-STM-01,NAS,LUN-NAS-STM-01-002,WKL-FIN-008,21706,2667,24373,493.75,44.1,537.85,13.48,31,36.06,63.13
2026-07-04 20:00:00,NAS-STM-01,NAS,LUN-NAS-STM-01-004,WKL-FIN-006,23597,10092,33689,468.0,96.6,564.6,11.42,7,63.25,45.59
2026-07-05 00:00:00,NVM-NWK-02,NVMe,LUN-NVM-NWK-02-004,WKL-OPS-003,16562,7806,24368,278.9,110.05,388.95,198,54,95.5,36.94
2026-07-05 00:00:00,NVM-NWK-02,NVMe,LUN-NVM-NWK-02-007,WKL-FIN-006,24560,6856,31416,423.03,230.31,653.34,53,21,54.43,54.16
2026-07-05 00:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-007,WKL-OPS-013,24323,10766,35089,840.52,310.02,1150.54,6.0,11,38.5,70.1
2026-07-05 00:00:00,NAS-NWK-01,NAS,LUN-NAS-NWK-01-001,WKL-FIN-007,30765,7158,37923,881.24,143.51,1024.75,13.38,9,93.63,76.34
2026-07-05 00:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-048,WKL-OPS-011,54394,19537,73931,1511.97,497.61,2009.58,13.54,256,13.31,99.11
2026-07-05 04:00:00,NVM-NWK-01,NVMe,LUN-NVM-NWK-01-003,WKL-FIN-018,28655,2058,30713,477.29,19.21,496.5,59,62,95.58,73.68
2026-07-05 04:00:00,NVM-NWK-01,NVMe,LUN-NVM-NWK-01-004,WKL-FIN-016,23340,11853,35193,413.34,417.16,830.5,298,45,62.62,24.67
2026-07-05 04:00:00,NVM-NWK-02,NVMe,LUN-NVM-NWK-02-005,WKL-FIN-003,23264,8397,31661,411.47,165.77,577.24,191,29,63.39,74.43
2026-07-05 04:00:00,NVM-NWK-02,NVMe,LUN-NVM-NWK-02-007,WKL-FIN-006,19406,11362,30768,677.77,280.32,958.09,128,27,93.37,28.7
2026-07-05 04:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-007,WKL-OPS-013,17016,11224,28240,451.71,118.36,570.07,13.61,28,61.15,55.19
2026-07-05 04:00:00,NAS-NWK-01,NAS,LUN-NAS-NWK-01-002,WKL-FIN-023,30531,11314,41845,468.72,390.22,858.94,24.71,58,85.32,52.79
2026-07-05 04:00:00,NAS-NWK-01,NAS,LUN-NAS-NWK-01-006,WKL-FIN-003,22114,2526,24640,193.85,33.7,227.55,4.61,5,88.37,17.35
2026-07-05 04:00:00,NAS-STM-01,NAS,LUN-NAS-STM-01-005,WKL-OPS-011,26439,12084,38523,536.45,389.51,925.96,23.98,55,53.26,74.4
2026-07-05 04:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-047,WKL-OPS-009,29923,18832,48755,828.73,210.6,1039.33,5.34,199,17.78,97.12
2026-07-05 08:00:00,NVM-NWK-02,NVMe,LUN-NVM-NWK-02-004,WKL-OPS-003,23995,14808,38803,493.11,287.69,780.8,173,63,85.99,57.43
2026-07-05 08:00:00,NVM-STM-01,NVMe,LUN-NVM-STM-01-005,WKL-FIN-002,33963,17785,51748,835.38,348.36,1183.74,100,9,76.92,64.75
2026-07-05 08:00:00,SAN-NWK-02,SAN,LUN-SAN-NWK-02-004,WKL-OPS-003,25771,4572,30343,898.6,147.85,1046.45,2.3,61,68.5,18.46
2026-07-05 08:00:00,SAN-STM-01,SAN,LUN-SAN-STM-01-002,WKL-FIN-022,42898,24789,67687,1543.25,530.01,2073.26,1.62,63,43.95,20.63
2026-07-05 08:00:00,NAS-NWK-01,NAS,LUN-NAS-NWK-01-004,WKL-OPS-014,58654,15477,74131,1522.4,441.58,1963.98,7.46,52,94.8,35.18
2026-07-05 08:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-047,WKL-OPS-009,101688,40507,142195,1395.99,1293.15,2689.14,1.64,176,14.5,98.0
2026-07-05 08:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-048,WKL-OPS-011,103458,47742,151200,1915.05,1773.77,3688.82,13.86,129,17.97,97.57
